127.0.0.1 - - [10/Sep/2023:08:16:37 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:16:43 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:17:52 -0300] "POST /NewLohane/Cliente/Entrar.jsp HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:17:52 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14586
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:19:02 -0300] "GET /NewLohane/Carrinho_de_compras/Carrinho.jsp HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:19:02 -0300] "GET /NewLohane/Carrinho_de_compras/styles.css HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:51:31 -0300] "GET /NewLohane/Carrinho_de_compras/styles.css HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2023:08:51:38 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 500 2575
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:41:00 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 500 2575
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:42:43 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14563
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:42:47 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:43:00 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14569
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:43:02 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:43:39 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14584
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:44:30 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14584
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:44:34 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14584
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:44:36 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:44:43 -0300] "GET /NewLohane/Carrinho_de_compras/Carrinho.jsp HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:44:43 -0300] "GET /NewLohane/Carrinho_de_compras/styles.css HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:44:55 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14584
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:45:17 -0300] "POST /NewLohane/Cliente/index.jsp HTTP/1.1" 200 14583
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:46:23 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:52:04 -0300] "GET /NewLohane/Carrinho_de_compras/Carrinho.jsp HTTP/1.1" 200 7353
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:52:04 -0300] "GET /NewLohane/Carrinho_de_compras/styles.css HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:52:14 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:53:10 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:53:14 -0300] "GET /NewLohane/Carrinho_de_compras/Carrinho.jsp HTTP/1.1" 200 7353
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:53:14 -0300] "GET /NewLohane/Carrinho_de_compras/styles.css HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:53:15 -0300] "GET /NewLohane/Carrinho_de_compras/teste.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [10/Sep/2023:09:53:19 -0300] "POST /NewLohane/Carrinho_de_compras/Deletar_produto.jsp HTTP/1.1" 404 786
