127.0.0.1 - - [19/Sep/2023:11:30:44 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:30:51 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 27676
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:30:52 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:35:49 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 27920
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:36:19 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 500 2796
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:36:21 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 27689
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:36:23 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 27689
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:36:24 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 27689
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:36:24 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 27689
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:38:03 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 28076
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:41:06 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 28833
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:41:06 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 28833
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:42:16 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29860
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:44:05 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29857
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:44:06 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29857
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:44:07 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29857
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:44:07 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29857
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:44:08 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29857
0:0:0:0:0:0:0:1 - - [19/Sep/2023:11:44:08 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 29857
