127.0.0.1 - - [24/Sep/2023:11:35:09 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:12 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:13 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:40 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:40 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:41 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:41 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:42 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:42 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:42 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:42 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:43 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:43 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:43 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:43 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:44 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:44 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:44 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:44 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:45 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2023:11:35:45 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 12796
