127.0.0.1 - - [22/Sep/2023:21:40:05 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:06 -0300] "GET /NewLohane/Carrinho_de_compras/Altera_tamanho.jsp HTTP/1.1" 500 2688
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:07 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:33 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:36 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:36 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:38 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:38 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:40 -0300] "POST /NewLohane/Admin/Altera_tamanho.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:40 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:43 -0300] "POST /NewLohane/Admin/Altera_tamanho.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:43 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:54 -0300] "POST /NewLohane/Admin/Altera_tamanho.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:54 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:58 -0300] "POST /NewLohane/Admin/Altera_tamanho.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:40:58 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:02 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:02 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:03 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:03 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18893
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:04 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18894
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:05 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:05 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18894
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:05 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:05 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18894
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:05 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:06 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18895
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:06 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:06 -0300] "GET /NewLohane/Admin/Lista_produtos.jsp HTTP/1.1" 200 18895
0:0:0:0:0:0:0:1 - - [22/Sep/2023:21:41:07 -0300] "POST /NewLohane/Admin/Altera_quantidade.jsp HTTP/1.1" 302 -
