127.0.0.1 - - [17/Sep/2023:12:31:40 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/index.html HTTP/1.1" 200 12374
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/style.css HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0008.jpg HTTP/1.1" 200 262961
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0004.jpg HTTP/1.1" 200 181727
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0005.jpg HTTP/1.1" 200 314363
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0006.jpg HTTP/1.1" 200 375138
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0007.jpg HTTP/1.1" 200 352833
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0009.jpg HTTP/1.1" 200 57501
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup2.jpg HTTP/1.1" 200 419257
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup1.jpg HTTP/1.1" 200 243369
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup3.jpg HTTP/1.1" 200 792876
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup4.jpg HTTP/1.1" 200 558309
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup5.jpg HTTP/1.1" 200 348626
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup7.jpg HTTP/1.1" 200 372238
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupaCapa/Capa1.1.jpg HTTP/1.1" 200 36860
0:0:0:0:0:0:0:1 - - [17/Sep/2023:12:31:41 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup8.jpg HTTP/1.1" 200 690078
