127.0.0.1 - - [05/Jul/2023:19:53:06 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:08 -0300] "GET /NewLohane/PG_Principal/index.html HTTP/1.1" 200 11624
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:08 -0300] "GET /NewLohane/PG_Principal/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0006.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0007.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupaCapa/IMG-20230423-WA0009.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:19:53:09 -0300] "GET /NewLohane/PG_Principal/roupasSite/roup3.jpg HTTP/1.1" 304 -
